,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
10,200794,2016-17,00,1610612737,ATL,32.0,69,67,2343.0,430,972,0.442,75,241,0.311,311,405,0.768,111,422,533,252,90,62,158,186,1246
0,1627098,2016-17,00,1610612737,ATL,28.0,73,2,1248.0,145,388,0.374,26,110,0.236,75,93,0.806,10,113,123,193,39,1,95,112,391
10,101141,2016-17,00,1610612760,OKC,30.0,3,0,62.0,6,16,0.375,3,12,0.25,0,0,0.0,2,14,16,1,3,1,4,5,15
11,101141,2016-17,00,1610612755,PHI,30.0,53,40,1447.0,285,648,0.44,107,298,0.359,109,142,0.768,71,243,314,97,33,14,78,133,786
12,101141,2016-17,00,1610612737,ATL,30.0,26,12,633.0,93,226,0.412,32,92,0.348,52,65,0.8,42,109,151,43,22,8,34,73,270
13,101141,2016-17,00,0,TOT,30.0,82,52,2142.0,384,890,0.431,142,402,0.353,161,207,0.778,115,366,481,141,58,23,116,211,1071
12,2730,2016-17,00,1610612737,ATL,31.0,74,74,2199.0,388,613,0.633,0,2,0.0,226,424,0.533,296,644,940,104,64,92,170,203,1002
3,203501,2016-17,00,1610612737,ATL,25.0,79,30,2154.0,415,912,0.455,149,417,0.357,164,214,0.766,35,189,224,182,55,15,106,103,1143
0,1627752,2016-17,00,1610612737,ATL,23.0,59,10,981.0,114,285,0.4,33,102,0.324,74,94,0.787,25,132,157,55,43,27,61,96,335
13,101181,2016-17,00,1610612747,LAL,35.0,24,11,292.0,32,77,0.416,12,34,0.353,4,4,1.0,8,34,42,51,7,1,26,22,80
14,101181,2016-17,00,1610612737,ATL,35.0,17,2,247.0,23,57,0.404,8,30,0.267,7,8,0.875,7,25,32,37,4,0,15,14,61
15,101181,2016-17,00,0,TOT,35.0,41,13,539.0,55,134,0.41,20,64,0.313,11,12,0.917,15,59,74,88,11,1,41,36,141
3,203471,2016-17,00,1610612737,ATL,23.0,79,78,2485.0,548,1214,0.451,100,294,0.34,218,255,0.855,42,206,248,499,74,16,258,149,1414
6,203145,2016-17,00,1610612737,ATL,27.0,73,64,1963.0,295,721,0.409,92,266,0.346,119,168,0.708,45,186,231,177,91,52,125,165,801
12,200757,2016-17,00,1610612737,ATL,33.0,62,42,1596.0,174,395,0.441,41,120,0.342,55,75,0.733,54,216,270,107,96,31,58,97,444
3,203527,2016-17,00,1610612737,ATL,26.0,16,0,110.0,8,28,0.286,4,10,0.4,5,6,0.833,1,17,18,8,4,5,4,5,25
3,203488,2016-17,00,1610612737,ATL,25.0,70,3,1237.0,170,337,0.504,46,110,0.418,49,64,0.766,76,164,240,95,30,41,55,97,435
16,2399,2016-17,00,1610612739,CLE,36.0,23,2,366.0,36,90,0.4,20,57,0.351,14,19,0.737,5,42,47,20,6,2,14,32,106
17,2399,2016-17,00,1610612737,ATL,36.0,30,0,475.0,57,130,0.438,33,77,0.429,22,26,0.846,13,55,68,30,9,5,14,35,169
18,2399,2016-17,00,0,TOT,36.0,53,2,841.0,93,220,0.423,53,134,0.396,36,45,0.8,18,97,115,50,15,7,28,67,275
17,2743,2016-17,00,1610612737,ATL,32.0,56,4,689.0,87,214,0.407,19,54,0.352,64,82,0.78,60,146,206,29,15,21,28,69,257
0,1627761,2016-17,00,1610612737,ATL,22.0,38,1,371.0,47,98,0.48,1,18,0.056,6,16,0.375,14,45,59,28,8,5,16,21,101
