,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,2220,2001-02,00,1610612751,NJN,22.0,35,0,195.0,27,85,0.318,5,17,0.294,5,10,0.5,10,6,16,8,7,1,8,26,64
9,467,2001-02,00,1610612751,NJN,29.0,82,82,3056.0,445,1138,0.391,117,364,0.321,201,247,0.814,130,465,595,808,175,20,286,136,1208
1,2030,2001-02,00,1610612751,NJN,24.0,73,73,2505.0,445,962,0.463,15,67,0.224,181,267,0.678,113,275,388,192,90,121,172,261,1086
8,1533,2001-02,00,1610612751,NJN,27.0,34,0,366.0,37,90,0.411,4,12,0.333,16,25,0.64,10,19,29,48,31,1,20,30,94
2,1928,2001-02,00,1610612751,NJN,26.0,62,61,1501.0,247,465,0.531,0,0,0.0,110,164,0.671,157,221,378,78,24,89,66,181,604
8,446,2001-02,00,1610612751,NJN,31.0,74,0,1556.0,249,537,0.464,44,118,0.373,133,158,0.842,49,158,207,116,53,6,61,99,675
3,681,2001-02,00,1610612751,NJN,29.0,20,0,119.0,8,29,0.276,2,4,0.5,12,18,0.667,8,13,21,5,3,0,2,14,30
0,2243,2001-02,00,1610612751,NJN,24.0,28,0,290.0,23,67,0.343,3,10,0.3,11,15,0.733,12,39,51,21,9,2,24,39,60
0,2210,2001-02,00,1610612751,NJN,22.0,79,9,1919.0,270,591,0.457,13,56,0.232,189,265,0.713,85,208,293,140,64,48,107,211,742
4,954,2001-02,00,1610612751,NJN,28.0,82,82,2601.0,438,940,0.466,98,242,0.405,128,172,0.744,68,207,275,216,130,31,109,108,1102
9,1425,2001-02,00,1610612751,NJN,30.0,82,13,1550.0,231,439,0.526,0,2,0.0,130,186,0.699,115,224,339,77,29,76,79,212,592
0,2215,2001-02,00,1610612751,NJN,23.0,77,9,1403.0,117,278,0.421,1,2,0.5,115,164,0.701,132,169,301,81,29,47,72,173,350
4,1496,2001-02,00,1610612751,NJN,26.0,81,81,2462.0,471,1089,0.433,101,293,0.345,156,195,0.8,137,472,609,164,63,42,146,221,1199
