,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,200796,2006-07,00,1610612738,BOS,23.0,63,2,720.0,79,177,0.446,0,2,0.0,106,144,0.736,97,118,215,10,14,22,47,104,264
1,101155,2006-07,00,1610612738,BOS,24.0,73,60,2275.0,338,723,0.467,16,42,0.381,189,233,0.811,125,282,407,119,48,13,105,169,881
1,101123,2006-07,00,1610612738,BOS,21.0,81,26,1780.0,310,739,0.419,95,258,0.368,128,159,0.805,68,140,208,83,41,24,120,198,843
2,2744,2006-07,00,1610612738,BOS,22.0,69,60,2319.0,453,882,0.514,0,1,0.0,201,295,0.681,237,519,756,88,48,106,136,232,1107
0,200765,2006-07,00,1610612738,BOS,21.0,78,25,1831.0,188,450,0.418,6,29,0.207,119,184,0.647,74,218,292,297,128,8,137,181,501
0,200810,2006-07,00,1610612738,BOS,23.0,47,5,710.0,100,259,0.386,48,116,0.414,42,55,0.764,18,51,69,43,20,3,42,85,290
2,2753,2006-07,00,1610612738,BOS,23.0,69,47,2219.0,306,717,0.427,65,178,0.365,168,197,0.853,32,176,208,304,74,34,140,152,845
2,2742,2006-07,00,1610612738,BOS,22.0,78,30,1578.0,176,474,0.371,37,128,0.289,90,110,0.818,17,91,108,218,43,11,98,166,479
8,1718,2006-07,00,1610612738,BOS,29.0,47,46,1740.0,373,850,0.439,107,275,0.389,320,402,0.796,39,238,277,194,48,13,152,122,1173
10,1709,2006-07,00,1610612738,BOS,32.0,24,0,234.0,19,46,0.413,0,0,0.0,2,3,0.667,14,34,48,5,8,13,17,48,40
2,2754,2006-07,00,1610612738,BOS,25.0,33,18,805.0,133,259,0.514,8,33,0.242,105,134,0.784,35,89,124,56,49,12,75,87,379
3,2570,2006-07,00,1610612738,BOS,22.0,72,53,1576.0,132,269,0.491,0,3,0.0,60,100,0.6,113,259,372,94,23,96,113,214,324
5,2243,2006-07,00,1610612738,BOS,29.0,54,17,1027.0,77,191,0.403,44,110,0.4,18,23,0.783,24,81,105,59,23,18,44,130,216
15,689,2006-07,00,1610612738,BOS,34.0,2,2,44.0,1,3,0.333,0,0,0.0,3,4,0.75,2,5,7,0,1,3,1,6,5
9,1887,2006-07,00,1610612738,BOS,30.0,32,19,900.0,161,388,0.415,44,106,0.415,113,126,0.897,16,82,98,55,18,3,54,65,479
