,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,202687,2012-13,00,1610612766,CHA,20.0,80,65,2186.0,156,346,0.451,0,0,0.0,74,142,0.521,194,388,582,35,28,143,82,195,386
15,2205,2012-13,00,1610612766,CHA,31.0,22,1,226.0,8,27,0.296,0,1,0.0,0,1,0.0,10,41,51,13,5,16,8,19,16
2,202399,2012-13,00,1610612766,CHA,27.0,52,5,713.0,72,168,0.429,0,2,0.0,65,100,0.65,68,128,196,36,18,27,32,80,209
11,2457,2012-13,00,1610612764,WAS,33.0,7,0,102.0,8,32,0.25,3,20,0.15,2,2,1.0,0,6,6,14,0,1,8,8,21
12,2457,2012-13,00,1610612737,ATL,33.0,7,0,113.0,13,38,0.342,7,20,0.35,2,2,1.0,1,6,7,19,3,0,5,8,35
13,2457,2012-13,00,1610612766,CHA,33.0,18,0,292.0,57,142,0.401,29,76,0.382,8,9,0.889,9,13,22,34,15,2,28,26,151
14,2457,2012-13,00,0,TOT,33.0,32,0,507.0,78,212,0.368,39,116,0.336,12,13,0.923,10,25,35,67,18,3,41,42,207
7,201196,2012-13,00,1610612766,CHA,27.0,61,0,1652.0,276,676,0.408,33,107,0.308,291,347,0.839,27,142,169,230,48,7,104,91,876
8,2732,2012-13,00,1610612766,CHA,30.0,75,0,1560.0,310,760,0.408,113,292,0.387,107,127,0.843,18,112,130,141,35,16,136,134,840
3,201945,2012-13,00,1610612766,CHA,25.0,68,58,2133.0,382,855,0.447,33,100,0.33,258,313,0.824,55,195,250,177,68,34,108,149,1055
5,201177,2012-13,00,1610612753,ORL,26.0,41,3,685.0,60,153,0.392,17,55,0.309,22,30,0.733,41,96,137,70,10,12,28,65,159
6,201177,2012-13,00,1610612766,CHA,26.0,26,19,802.0,96,190,0.505,7,29,0.241,43,55,0.782,52,136,188,71,22,15,38,66,242
7,201177,2012-13,00,0,TOT,26.0,67,22,1487.0,156,343,0.455,24,84,0.286,65,85,0.765,93,232,325,141,32,27,66,131,401
8,200748,2012-13,00,1610612766,CHA,26.0,26,2,360.0,48,136,0.353,3,8,0.375,26,31,0.839,16,44,60,19,14,15,17,51,125
0,203077,2012-13,00,1610612766,CHA,19.0,78,77,2025.0,281,613,0.458,2,9,0.222,140,187,0.749,131,324,455,117,54,70,101,164,704
1,202689,2012-13,00,1610612766,CHA,23.0,82,82,2859.0,526,1244,0.423,107,332,0.322,296,371,0.798,60,223,283,471,160,31,200,153,1455
3,201957,2012-13,00,1610612766,CHA,24.0,53,41,1428.0,217,563,0.385,66,208,0.317,64,99,0.646,71,266,337,81,34,32,74,110,564
13,2217,2012-13,00,1610612766,CHA,33.0,61,17,1162.0,93,216,0.431,0,1,0.0,30,66,0.455,125,165,290,29,16,49,50,125,216
0,203106,2012-13,00,1610612766,CHA,24.0,77,29,1507.0,172,399,0.431,53,154,0.344,75,103,0.728,51,99,150,63,47,15,48,136,472
3,202130,2012-13,00,1610612766,CHA,26.0,40,0,380.0,57,132,0.432,22,72,0.306,10,21,0.476,8,43,51,39,12,1,19,19,146
