,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
12,201166,2014-15,00,1610612741,CHI,30.0,82,21,1885.0,344,817,0.421,121,313,0.387,145,174,0.833,32,134,166,261,54,15,157,189,954
5,201565,2014-15,00,1610612741,CHI,26.0,51,51,1530.0,338,835,0.405,76,271,0.28,152,187,0.813,35,126,161,251,36,16,161,63,904
0,203926,2014-15,00,1610612741,CHI,23.0,36,0,321.0,43,107,0.402,13,41,0.317,10,15,0.667,6,37,43,6,4,1,17,29,109
13,2550,2014-15,00,1610612741,CHI,34.0,66,22,1610.0,142,381,0.373,58,168,0.345,35,50,0.7,20,101,121,148,46,14,73,144,377
7,201149,2014-15,00,1610612741,CHI,30.0,67,67,2049.0,190,427,0.445,0,2,0.0,105,174,0.603,219,427,646,312,48,74,123,203,485
15,2200,2014-15,00,1610612741,CHI,34.0,78,78,2681.0,570,1153,0.494,12,26,0.462,294,366,0.803,220,699,919,210,25,147,158,147,1446
1,203503,2014-15,00,1610612741,CHI,23.0,72,22,1412.0,159,371,0.429,73,197,0.371,44,55,0.8,31,145,176,62,32,11,48,86,435
3,202710,2014-15,00,1610612741,CHI,25.0,65,65,2513.0,421,912,0.462,73,193,0.378,386,463,0.834,114,265,379,212,114,36,93,108,1301
5,201959,2014-15,00,1610612741,CHI,30.0,62,17,1692.0,254,506,0.502,0,0,0.0,132,184,0.717,162,234,396,71,36,75,77,162,640
14,2399,2014-15,00,1610612741,CHI,34.0,63,63,1838.0,209,481,0.435,107,263,0.407,70,87,0.805,28,220,248,114,39,21,60,123,595
0,203946,2014-15,00,1610612741,CHI,24.0,18,1,64.0,3,14,0.214,0,0,0.0,4,5,0.8,6,2,8,1,2,1,3,8,10
0,202703,2014-15,00,1610612741,CHI,24.0,82,3,1654.0,253,624,0.405,99,313,0.316,228,284,0.803,63,341,404,97,54,54,89,172,833
26,1737,2014-15,00,1610612741,CHI,37.0,23,0,128.0,13,30,0.433,0,0,0.0,1,3,0.333,11,27,38,3,4,5,7,16,27
3,202734,2014-15,00,1610612741,CHI,26.0,56,0,504.0,62,139,0.446,13,38,0.342,12,20,0.6,12,34,46,33,20,6,14,45,149
