,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
3,200789,2009-10,00,1610612739,CLE,24.0,56,10,1068.0,125,268,0.466,71,149,0.477,34,49,0.694,13,60,73,70,25,7,36,79,355
6,2590,2009-10,00,1610612739,CLE,27.0,69,68,2359.0,378,855,0.442,159,371,0.429,177,198,0.894,28,178,206,368,70,21,173,170,1092
5,2742,2009-10,00,1610612746,LAC,25.0,39,1,582.0,67,166,0.404,11,47,0.234,24,31,0.774,5,36,41,114,22,5,44,65,169
6,2742,2009-10,00,1610612739,CLE,25.0,4,0,77.0,16,35,0.457,2,9,0.222,5,6,0.833,0,4,4,12,2,0,6,6,39
7,2742,2009-10,00,0,TOT,25.0,43,1,659.0,83,201,0.413,13,56,0.232,29,37,0.784,5,40,45,126,24,5,50,71,208
11,1712,2009-10,00,1610612764,WAS,34.0,41,41,1595.0,315,700,0.45,58,168,0.345,152,217,0.7,99,263,362,52,43,9,61,112,840
12,1712,2009-10,00,1610612739,CLE,34.0,25,23,811.0,163,336,0.485,27,79,0.342,42,83,0.506,37,156,193,32,28,12,30,67,395
13,1712,2009-10,00,0,TOT,34.0,66,64,2406.0,478,1036,0.461,85,247,0.344,194,300,0.647,136,419,555,84,71,21,91,179,1235
11,980,2009-10,00,1610612739,CLE,35.0,64,6,1339.0,194,438,0.443,11,23,0.478,75,101,0.743,114,231,345,48,14,50,63,183,474
7,2753,2009-10,00,1610612739,CLE,26.0,60,3,1500.0,194,436,0.445,25,77,0.325,115,142,0.81,29,140,169,196,55,28,90,86,528
0,201980,2009-10,00,1610612739,CLE,23.0,20,0,115.0,15,39,0.385,6,22,0.273,4,6,0.667,8,9,17,5,6,3,5,9,40
4,200081,2009-10,00,1610612739,CLE,30.0,61,2,1052.0,114,247,0.462,32,100,0.32,36,45,0.8,26,165,191,49,34,30,23,69,296
5,2760,2009-10,00,1610612739,CLE,27.0,76,7,2166.0,267,467,0.572,1,5,0.2,116,175,0.663,189,389,578,87,71,67,67,223,651
6,1515,2009-10,00,1610612739,CLE,35.0,81,81,2289.0,206,475,0.434,108,261,0.414,75,95,0.789,30,201,231,157,63,18,71,151,595
1,201581,2009-10,00,1610612739,CLE,21.0,81,73,1691.0,289,522,0.554,0,1,0.0,111,163,0.681,110,290,400,40,36,39,92,132,689
6,2544,2009-10,00,1610612739,CLE,25.0,76,76,2966.0,768,1528,0.503,129,387,0.333,593,773,0.767,71,483,554,651,125,77,261,119,2258
1,101214,2009-10,00,1610612739,CLE,27.0,54,6,742.0,81,206,0.393,30,93,0.323,32,45,0.711,16,67,83,34,12,5,18,73,224
19,406,2009-10,00,1610612739,CLE,38.0,53,53,1240.0,262,463,0.566,0,1,0.0,112,226,0.496,93,262,355,80,15,62,105,169,636
3,200796,2009-10,00,1610612739,CLE,26.0,20,2,236.0,21,49,0.429,0,0,0.0,37,63,0.587,19,42,61,0,6,2,11,36,79
