,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
14,201584,2018-19,00,1610612752,NYK,33.0,12,2,160.0,21,47,0.447,5,16,0.313,9,14,0.643,6,21,27,16,8,2,5,13,56
15,201584,2018-19,00,1610612742,DAL,33.0,22,4,268.0,32,82,0.39,11,39,0.282,5,7,0.714,3,24,27,21,13,1,9,19,80
16,201584,2018-19,00,0,TOT,33.0,34,6,428.0,53,129,0.411,16,55,0.291,14,21,0.667,9,45,54,37,21,3,14,32,136
0,1629133,2018-19,00,1610612742,DAL,23.0,8,0,90.0,10,27,0.37,5,11,0.455,4,7,0.571,2,10,12,7,1,0,6,8,29
12,200826,2018-19,00,1610612742,DAL,35.0,38,0,752.0,161,385,0.418,38,128,0.297,55,78,0.705,13,82,95,211,22,1,72,50,415
6,203939,2018-19,00,1610612742,DAL,27.0,77,22,1663.0,290,486,0.597,39,127,0.307,196,254,0.772,140,271,411,112,44,50,67,201,815
2,1627827,2018-19,00,1610612742,DAL,26.0,81,26,1985.0,228,528,0.432,79,254,0.311,73,103,0.709,138,251,389,95,69,36,74,186,608
5,203501,2018-19,00,1610612752,NYK,27.0,46,46,1499.0,282,726,0.388,117,337,0.347,199,233,0.854,26,135,161,122,42,6,81,106,880
6,203501,2018-19,00,1610612742,DAL,27.0,19,17,557.0,108,267,0.404,45,140,0.321,33,43,0.767,7,54,61,37,12,2,24,35,294
7,203501,2018-19,00,0,TOT,27.0,65,63,2057.0,390,993,0.393,162,477,0.34,232,276,0.841,33,189,222,159,54,8,105,141,1174
0,1628973,2018-19,00,1610612742,DAL,22.0,73,38,1591.0,264,565,0.467,63,181,0.348,87,120,0.725,25,144,169,230,37,4,88,127,678
5,203504,2018-19,00,1610612752,NYK,26.0,33,7,689.0,148,358,0.413,30,86,0.349,62,75,0.827,15,47,62,94,21,5,29,33,388
6,203504,2018-19,00,1610612742,DAL,26.0,25,1,436.0,88,190,0.463,26,73,0.356,41,49,0.837,13,24,37,65,12,2,20,25,243
7,203504,2018-19,00,0,TOT,26.0,58,8,1125.0,236,548,0.431,56,159,0.352,103,124,0.831,28,71,99,159,33,7,49,58,631
20,2734,2018-19,00,1610612742,DAL,36.0,68,2,1071.0,132,347,0.38,62,200,0.31,102,134,0.761,12,100,112,122,35,16,56,133,428
0,1628961,2018-19,00,1610612742,DAL,21.0,2,0,11.0,0,3,0.0,0,0,0.0,2,4,0.5,0,1,1,0,2,0,1,0,2
20,1717,2018-19,00,1610612742,DAL,41.0,51,20,795.0,135,376,0.359,64,205,0.312,39,50,0.78,5,153,158,35,9,18,18,76,373
1,1628467,2018-19,00,1610612742,DAL,27.0,71,18,1502.0,175,386,0.453,77,218,0.353,58,74,0.784,90,239,329,70,36,78,54,143,485
1,1628382,2018-19,00,1610612758,SAC,24.0,52,3,1083.0,125,295,0.424,55,159,0.346,41,50,0.82,25,121,146,68,23,13,22,67,346
2,1628382,2018-19,00,1610612742,DAL,24.0,29,11,531.0,92,190,0.484,32,86,0.372,21,29,0.724,19,47,66,28,9,1,7,32,237
3,1628382,2018-19,00,0,TOT,24.0,81,14,1613.0,217,485,0.447,87,245,0.355,62,79,0.785,44,168,212,96,32,14,29,99,583
0,1629151,2018-19,00,1610612742,DAL,28.0,42,0,454.0,57,126,0.452,38,93,0.409,15,19,0.789,8,55,63,22,6,4,16,35,167
3,1626257,2018-19,00,1610612742,DAL,33.0,36,4,399.0,55,112,0.491,11,34,0.324,20,32,0.625,36,95,131,35,10,26,21,55,141
0,1629029,2018-19,00,1610612742,DAL,20.0,72,72,2318.0,506,1186,0.427,168,514,0.327,346,485,0.713,86,477,563,429,77,25,247,137,1526
