,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
4,2051,2002-03,00,1610612743,DEN,22.0,77,27,1613.0,246,551,0.446,1,7,0.143,118,176,0.67,125,284,409,100,48,27,123,203,611
0,2428,2002-03,00,1610612743,DEN,22.0,59,39,1379.0,168,428,0.393,21,78,0.269,49,62,0.79,36,126,162,130,57,33,81,145,406
0,2453,2002-03,00,1610612743,DEN,27.0,27,0,256.0,29,93,0.312,4,26,0.154,21,29,0.724,9,16,25,22,14,1,21,33,83
12,436,2002-03,00,1610612743,DEN,30.0,77,77,2730.0,567,1261,0.45,2,4,0.5,282,351,0.803,181,404,585,234,77,27,189,239,1418
0,2454,2002-03,00,1610612743,DEN,22.0,82,51,2000.0,169,467,0.362,7,28,0.25,73,112,0.652,44,206,250,277,80,15,157,250,418
1,2206,2002-03,00,1610612743,DEN,23.0,72,19,1565.0,260,638,0.408,32,134,0.239,98,125,0.784,43,170,213,121,45,32,156,134,650
1,2261,2002-03,00,1610612743,DEN,22.0,22,6,420.0,51,165,0.309,5,28,0.179,16,23,0.696,12,23,35,53,18,2,36,30,123
2,2261,2002-03,00,1610612755,PHI,22.0,17,0,79.0,4,18,0.222,0,0,0.0,1,2,0.5,4,4,8,15,2,0,7,6,9
3,2261,2002-03,00,0,TOT,22.0,39,6,499.0,55,183,0.301,5,28,0.179,17,25,0.68,16,27,43,68,20,2,43,36,132
1,2365,2002-03,00,1610612743,DEN,24.0,59,3,903.0,114,285,0.4,0,1,0.0,77,140,0.55,109,165,274,32,30,60,60,90,305
0,2401,2002-03,00,1610612743,DEN,20.0,81,16,1320.0,115,393,0.293,37,152,0.243,48,65,0.738,64,117,181,91,31,29,84,136,315
6,948,2002-03,00,1610612743,DEN,29.0,29,9,616.0,93,227,0.41,2,5,0.4,33,50,0.66,75,133,208,47,20,40,27,69,221
2,1985,2002-03,00,1610612761,TOR,28.0,3,0,11.0,2,5,0.4,0,0,0.0,2,2,1.0,1,3,4,0,1,0,1,2,6
2,1548,2002-03,00,1610612743,DEN,27.0,54,24,885.0,105,267,0.393,0,0,0.0,71,99,0.717,62,121,183,35,22,51,70,112,281
3,1548,2002-03,00,1610612738,BOS,27.0,27,7,518.0,45,80,0.563,0,0,0.0,30,40,0.75,49,76,125,21,20,17,33,75,120
4,1548,2002-03,00,0,TOT,27.0,81,31,1407.0,150,347,0.432,0,0,0.0,101,139,0.727,111,197,308,56,42,68,103,187,401
0,2403,2002-03,00,1610612743,DEN,20.0,80,53,2258.0,321,619,0.519,0,3,0.0,197,341,0.578,208,283,491,149,127,65,181,295,839
3,1763,2002-03,00,1610612743,DEN,27.0,62,31,996.0,97,197,0.492,2,7,0.286,27,41,0.659,78,79,157,54,65,29,43,82,223
3,1899,2002-03,00,1610612743,DEN,26.0,25,24,872.0,121,324,0.373,24,88,0.273,86,102,0.843,38,107,145,78,29,6,66,63,352
4,1899,2002-03,00,1610612745,HOU,26.0,58,47,1646.0,188,428,0.439,46,141,0.326,119,144,0.826,52,229,281,106,77,9,78,134,541
5,1899,2002-03,00,0,TOT,26.0,83,71,2518.0,309,752,0.411,70,229,0.306,205,246,0.833,90,336,426,184,106,15,144,197,893
