,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
11,344,2000-01,00,1610612765,DET,34.0,60,0,1079.0,183,412,0.444,44,105,0.419,68,80,0.85,6,88,94,110,30,2,60,63,478
4,1112,2000-01,00,1610612765,DET,26.0,80,80,2761.0,215,439,0.49,1,4,0.25,80,238,0.336,303,749,1052,123,107,186,117,192,511
1,1088,2000-01,00,1610612765,DET,26.0,81,75,2363.0,380,952,0.399,121,339,0.357,90,130,0.692,28,145,173,330,67,5,149,184,971
4,1600,2000-01,00,1610612761,TOR,29.0,17,0,139.0,15,29,0.517,0,0,0.0,12,13,0.923,9,24,33,4,2,3,7,20,42
5,1600,2000-01,00,1610612765,DET,29.0,10,0,69.0,10,22,0.455,0,0,0.0,0,0,0.0,6,13,19,3,4,1,4,8,20
6,1600,2000-01,00,0,TOT,29.0,27,0,208.0,25,51,0.49,0,0,0.0,12,13,0.923,15,37,52,7,6,4,11,28,62
0,2043,2000-01,00,1610612765,DET,23.0,78,8,1266.0,160,400,0.4,5,17,0.294,97,137,0.708,26,106,132,207,49,1,139,153,422
13,146,2000-01,00,1610612765,DET,33.0,57,3,737.0,76,164,0.463,32,77,0.416,9,12,0.75,20,74,94,39,21,10,25,83,193
2,1630,2000-01,00,1610612765,DET,25.0,81,2,1154.0,132,268,0.493,0,1,0.0,95,130,0.731,121,195,316,33,24,61,74,202,359
7,693,2000-01,00,1610612765,DET,25.0,69,59,1941.0,308,765,0.403,0,5,0.0,231,287,0.805,160,331,491,79,47,50,88,258,847
5,722,2000-01,00,1610612761,TOR,27.0,42,31,889.0,153,325,0.471,0,2,0.0,84,130,0.646,57,96,153,33,15,13,65,98,390
6,722,2000-01,00,1610612765,DET,27.0,27,9,798.0,172,322,0.534,0,0,0.0,67,107,0.626,53,115,168,28,35,8,45,87,411
7,722,2000-01,00,0,TOT,27.0,69,40,1687.0,325,647,0.502,0,2,0.0,151,237,0.637,110,211,321,61,50,21,110,185,801
0,2073,2000-01,00,1610612765,DET,24.0,15,0,126.0,10,31,0.323,0,5,0.0,11,18,0.611,8,15,23,3,7,2,9,27,31
7,711,2000-01,00,1610612765,DET,26.0,80,80,3211.0,774,1927,0.402,166,473,0.351,666,810,0.822,99,216,315,410,97,54,326,160,2380
4,961,2000-01,00,1610612765,DET,27.0,40,0,527.0,100,236,0.424,2,15,0.133,35,45,0.778,25,58,83,23,13,16,36,72,237
