,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,2240,2002-03,00,1610612744,GSW,21.0,82,82,2866.0,509,1180,0.431,109,313,0.348,370,468,0.791,97,289,386,514,124,17,290,260,1497
1,2211,2002-03,00,1610612744,GSW,23.0,79,79,2510.0,338,749,0.451,3,14,0.214,244,290,0.841,228,578,806,106,65,30,111,246,923
1,2352,2002-03,00,1610612744,GSW,24.0,15,0,94.0,7,29,0.241,1,6,0.167,7,8,0.875,8,8,16,23,7,0,10,9,22
7,682,2002-03,00,1610612744,GSW,30.0,55,0,1130.0,135,328,0.412,28,85,0.329,103,148,0.696,58,109,167,177,45,2,82,108,401
0,2412,2002-03,00,1610612744,GSW,23.0,37,0,230.0,19,75,0.253,1,4,0.25,22,29,0.759,12,16,28,27,8,2,19,32,61
0,2399,2002-03,00,1610612744,GSW,22.0,82,3,1306.0,168,417,0.403,52,150,0.347,78,100,0.78,66,148,214,106,53,19,86,120,466
3,1747,2002-03,00,1610612761,TOR,26.0,47,4,983.0,139,335,0.415,51,130,0.392,37,54,0.685,21,86,107,192,38,15,86,120,366
5,1504,2002-03,00,1610612744,GSW,27.0,17,0,221.0,20,54,0.37,0,1,0.0,19,29,0.655,28,45,73,12,9,0,15,43,59
1,2202,2002-03,00,1610612744,GSW,22.0,82,82,2697.0,476,1161,0.41,123,334,0.368,207,271,0.764,111,267,378,247,90,23,179,201,1282
6,956,2002-03,00,1610612744,GSW,27.0,82,82,1977.0,259,522,0.496,0,2,0.0,155,222,0.698,248,295,543,58,27,154,112,242,673
5,1502,2002-03,00,1610612744,GSW,28.0,82,0,1786.0,185,345,0.536,0,1,0.0,70,104,0.673,176,314,490,37,40,205,73,214,440
4,1712,2002-03,00,1610612744,GSW,27.0,82,82,3226.0,691,1471,0.47,65,209,0.311,375,475,0.789,195,383,578,156,76,45,177,197,1822
9,168,2002-03,00,1610612744,GSW,33.0,21,0,264.0,39,106,0.368,7,25,0.28,16,18,0.889,19,31,50,22,7,3,10,29,101
