,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2,202726,2015-16,00,1610612745,HOU,27.0,8,0,50.0,9,20,0.45,1,9,0.111,3,4,0.75,1,1,2,4,6,2,7,4,22
15,2772,2015-16,00,1610612745,HOU,31.0,81,81,2859.0,357,859,0.416,185,499,0.371,126,161,0.783,67,299,366,188,160,26,113,177,1025
3,201976,2015-16,00,1610612745,HOU,27.0,71,63,2041.0,258,594,0.434,124,310,0.4,60,88,0.682,73,177,250,239,94,26,91,234,700
13,2746,2015-16,00,1610612746,LAC,30.0,32,1,459.0,69,180,0.383,18,58,0.31,25,42,0.595,33,92,125,42,18,34,41,62,181
14,2746,2015-16,00,1610612745,HOU,30.0,23,6,421.0,58,169,0.343,23,85,0.271,12,25,0.48,18,49,67,48,16,13,36,56,151
15,2746,2015-16,00,0,TOT,30.0,55,7,880.0,127,349,0.364,41,143,0.287,37,67,0.552,51,141,192,90,34,47,77,118,332
3,203093,2015-16,00,1610612745,HOU,24.0,50,11,1044.0,166,367,0.452,25,79,0.316,77,116,0.664,62,149,211,41,23,39,49,86,434
0,1626155,2015-16,00,1610612745,HOU,22.0,3,0,6.0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,1,0,0,0,0
7,201563,2015-16,00,1610612745,HOU,27.0,20,0,363.0,107,205,0.522,3,9,0.333,38,49,0.776,29,69,98,16,11,9,24,39,255
11,2730,2015-16,00,1610612745,HOU,30.0,71,71,2280.0,372,600,0.62,0,6,0.0,232,474,0.489,238,597,835,98,69,113,166,219,976
6,201935,2015-16,00,1610612745,HOU,26.0,82,82,3125.0,710,1617,0.439,236,657,0.359,720,837,0.86,63,438,501,612,139,51,374,229,2376
1,203991,2015-16,00,1610612745,HOU,22.0,77,35,1471.0,231,397,0.582,0,1,0.0,80,211,0.379,194,300,494,47,59,92,60,190,542
3,202700,2015-16,00,1610612745,HOU,25.0,37,22,547.0,90,205,0.439,16,57,0.281,34,53,0.642,37,72,109,41,17,5,44,69,230
16,1891,2015-16,00,1610612745,HOU,38.0,72,7,1258.0,151,376,0.402,93,261,0.356,27,33,0.818,14,65,79,103,47,9,49,91,422
3,203909,2015-16,00,1610612745,HOU,23.0,37,1,235.0,29,72,0.403,7,25,0.28,24,30,0.8,16,26,42,10,7,6,17,30,89
12,201147,2015-16,00,1610612745,HOU,30.0,82,12,1669.0,212,552,0.384,61,224,0.272,105,140,0.75,42,157,199,109,84,19,78,168,590
0,1626149,2015-16,00,1610612745,HOU,22.0,39,1,379.0,58,90,0.644,0,1,0.0,24,46,0.522,25,40,65,17,11,11,17,48,140
