,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
7,2563,2010-11,00,1610612754,IND,30.0,45,2,589.0,100,214,0.467,14,39,0.359,69,90,0.767,4,61,65,33,20,7,31,70,283
1,201954,2010-11,00,1610612754,IND,23.0,79,79,2360.0,398,870,0.457,41,124,0.331,202,232,0.871,40,185,225,403,87,14,194,109,1039
6,2551,2010-11,00,1610612754,IND,28.0,41,3,773.0,91,236,0.386,6,32,0.188,35,48,0.729,17,64,81,141,35,8,63,69,223
0,202362,2010-11,00,1610612754,IND,20.0,12,0,115.0,13,39,0.333,0,5,0.0,11,14,0.786,1,17,18,21,4,0,16,14,37
11,1902,2010-11,00,1610612754,IND,34.0,56,3,940.0,80,167,0.479,0,3,0.0,27,48,0.563,160,190,350,46,24,31,26,127,187
1,201985,2010-11,00,1610612754,IND,24.0,50,0,795.0,114,320,0.356,41,149,0.275,54,81,0.667,16,56,72,111,29,1,53,61,323
10,2399,2010-11,00,1610612754,IND,30.0,61,44,1683.0,240,520,0.462,102,254,0.402,100,125,0.8,28,248,276,105,40,30,69,107,682
0,202331,2010-11,00,1610612754,IND,21.0,61,19,1265.0,179,395,0.453,41,138,0.297,77,101,0.762,37,187,224,65,62,26,70,127,476
2,201575,2010-11,00,1610612754,IND,25.0,67,21,1754.0,217,515,0.421,93,223,0.417,80,106,0.755,33,184,217,62,41,35,69,107,607
3,201177,2010-11,00,1610612754,IND,24.0,72,51,1597.0,211,386,0.547,23,60,0.383,88,119,0.739,109,273,382,150,47,57,93,165,533
5,101122,2010-11,00,1610612754,IND,28.0,79,79,2763.0,535,1260,0.425,157,407,0.386,395,466,0.848,87,338,425,203,89,62,206,213,1622
13,1899,2010-11,00,1610612754,IND,34.0,49,0,839.0,81,241,0.336,67,212,0.316,11,15,0.733,10,137,147,34,24,6,24,103,240
4,200780,2010-11,00,1610612754,IND,26.0,39,0,528.0,49,121,0.405,0,1,0.0,41,62,0.661,45,68,113,30,12,22,35,94,139
1,201946,2010-11,00,1610612754,IND,25.0,70,29,1535.0,285,613,0.465,0,2,0.0,197,253,0.779,145,221,366,41,37,15,76,160,767
2,201579,2010-11,00,1610612754,IND,24.0,81,80,2244.0,410,890,0.461,0,4,0.0,205,275,0.745,182,428,610,166,33,142,185,256,1025
