,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
9,201175,2014-15,00,1610612746,LAC,29.0,74,0,904.0,117,255,0.459,0,4,0.0,60,95,0.632,43,126,169,39,41,21,39,132,294
5,202706,2014-15,00,1610612746,LAC,24.0,14,2,122.0,14,35,0.4,10,21,0.476,0,0,0.0,2,14,16,7,2,0,4,14,38
9,101108,2014-15,00,1610612746,LAC,30.0,82,82,2857.0,568,1170,0.485,139,349,0.398,289,321,0.9,52,324,376,838,156,15,190,203,1564
10,200755,2014-15,00,1610612746,LAC,31.0,78,78,2409.0,447,938,0.477,200,458,0.437,183,203,0.901,22,145,167,137,39,8,95,134,1277
6,201599,2014-15,00,1610612746,LAC,26.0,82,82,2820.0,379,534,0.71,1,4,0.25,187,471,0.397,397,829,1226,61,81,183,109,245,946
9,201150,2014-15,00,1610612746,LAC,27.0,73,15,1274.0,163,415,0.393,55,176,0.313,44,68,0.647,30,228,258,88,24,53,61,173,425
16,2037,2014-15,00,1610612746,LAC,35.0,64,4,1703.0,332,839,0.396,119,364,0.327,227,252,0.901,18,106,124,158,59,14,92,108,1010
6,202327,2014-15,00,1610612746,LAC,28.0,33,0,128.0,11,24,0.458,0,0,0.0,7,9,0.778,7,19,26,8,8,7,7,20,29
7,201991,2014-15,00,1610612746,LAC,30.0,5,0,56.0,6,14,0.429,3,6,0.5,3,4,0.75,1,7,8,5,6,1,3,4,18
16,2045,2014-15,00,1610612746,LAC,36.0,62,2,705.0,83,188,0.441,60,139,0.432,6,11,0.545,5,94,99,37,19,7,29,66,232
13,2440,2014-15,00,1610612746,LAC,35.0,76,74,2271.0,277,624,0.444,136,376,0.362,74,95,0.779,51,251,302,114,67,50,87,240,764
2,203085,2014-15,00,1610612740,NOP,22.0,35,3,772.0,86,222,0.387,14,50,0.28,53,71,0.746,12,56,68,87,18,7,30,65,239
3,203085,2014-15,00,1610612746,LAC,22.0,41,2,791.0,117,274,0.427,25,81,0.309,32,55,0.582,15,69,84,68,30,7,35,81,291
4,203085,2014-15,00,0,TOT,22.0,76,5,1563.0,203,496,0.409,39,131,0.298,85,126,0.675,27,125,152,155,48,14,65,146,530
0,203912,2014-15,00,1610612746,LAC,24.0,21,0,101.0,16,38,0.421,7,19,0.368,2,2,1.0,1,6,7,8,3,1,10,7,41
12,2563,2014-15,00,1610612746,LAC,34.0,33,0,123.0,6,21,0.286,0,4,0.0,9,11,0.818,1,10,11,2,3,0,1,23,21
4,201933,2014-15,00,1610612746,LAC,26.0,67,67,2356.0,574,1144,0.502,10,25,0.4,311,427,0.728,126,382,508,354,63,35,152,196,1469
