,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2,1628398,2019-20,00,1610612747,LAL,24.0,61,9,1526.0,291,668,0.436,86,272,0.316,114,155,0.735,52,221,273,80,28,26,91,126,782
6,203484,2019-20,00,1610612747,LAL,27.0,69,26,1762.0,237,507,0.467,92,239,0.385,79,102,0.775,38,104,142,111,57,14,62,128,645
7,203076,2019-20,00,1610612747,LAL,27.0,62,62,2131.0,551,1096,0.503,72,218,0.33,444,525,0.846,142,435,577,200,91,143,154,156,1618
2,1627936,2019-20,00,1610612747,LAL,26.0,64,2,1175.0,120,291,0.412,40,120,0.333,69,94,0.734,17,106,123,124,70,18,53,98,349
0,1629659,2019-20,00,1610612747,LAL,19.0,6,1,81.0,14,30,0.467,4,13,0.308,2,4,0.5,2,5,7,6,8,1,6,10,34
15,201580,2019-20,00,1610612747,LAL,32.0,68,68,1130.0,195,306,0.637,3,6,0.5,53,82,0.646,125,265,390,37,36,94,55,159,446
15,200765,2019-20,00,1610612747,LAL,34.0,48,3,984.0,137,328,0.418,41,125,0.328,27,41,0.659,23,119,142,240,40,2,91,58,342
14,201162,2019-20,00,1610612747,LAL,34.0,45,1,364.0,24,60,0.4,18,42,0.429,2,2,1.0,6,46,52,28,15,3,8,41,68
13,202340,2019-20,00,1610612747,LAL,29.0,49,44,1186.0,170,383,0.444,63,173,0.364,20,24,0.833,18,97,115,63,43,5,47,110,423
0,1629719,2019-20,00,1610612747,LAL,23.0,1,0,9.0,3,6,0.5,0,0,0.0,0,0,0.0,2,3,5,1,0,0,0,0,6
10,201980,2019-20,00,1610612747,LAL,33.0,68,68,1687.0,197,474,0.416,120,327,0.367,33,48,0.688,51,174,225,91,85,32,63,136,547
9,203079,2019-20,00,1610612748,MIA,28.0,3,0,42.0,10,26,0.385,8,17,0.471,0,1,0.0,0,11,11,3,0,2,3,5,28
10,203079,2019-20,00,1610612747,LAL,28.0,7,0,165.0,31,73,0.425,7,30,0.233,14,16,0.875,2,11,13,17,4,4,13,16,83
11,203079,2019-20,00,0,TOT,28.0,10,0,207.0,41,99,0.414,15,47,0.319,14,17,0.824,2,22,24,20,4,6,16,21,111
17,2747,2019-20,00,1610612747,LAL,34.0,6,0,79.0,7,22,0.318,1,11,0.091,2,2,1.0,0,5,5,3,1,0,4,5,17
16,2544,2019-20,00,1610612747,LAL,35.0,67,67,2316.0,643,1303,0.493,148,425,0.348,264,381,0.693,66,459,525,684,78,36,261,118,1698
5,1626188,2019-20,00,1610612747,LAL,27.0,44,1,508.0,91,214,0.425,31,85,0.365,11,14,0.786,11,40,51,49,12,2,33,27,224
1,1628961,2019-20,00,1610612747,LAL,22.0,5,0,20.0,3,3,1.0,0,0,0.0,1,2,0.5,2,1,3,2,0,0,1,2,7
15,2730,2019-20,00,1610612747,LAL,34.0,69,2,1306.0,202,277,0.729,3,5,0.6,110,214,0.514,172,335,507,45,31,79,84,222,517
12,202693,2019-20,00,1610612765,DET,30.0,44,16,988.0,175,389,0.45,75,189,0.397,61,79,0.772,24,149,173,69,26,11,70,104,486
13,202693,2019-20,00,1610612747,LAL,30.0,14,1,199.0,28,69,0.406,13,39,0.333,5,6,0.833,16,29,45,8,5,6,6,29,74
14,202693,2019-20,00,0,TOT,30.0,58,17,1188.0,203,458,0.443,88,228,0.386,66,85,0.776,40,178,218,77,31,17,76,133,560
