,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,2766,2005-06,00,1610612763,MEM,26.0,57,1,570.0,51,144,0.354,1,6,0.167,10,23,0.435,4,33,37,76,20,0,36,45,113
0,101194,2005-06,00,1610612763,MEM,23.0,16,0,88.0,14,31,0.452,5,10,0.5,2,2,1.0,0,6,6,5,1,0,3,6,35
13,224,2005-06,00,1610612763,MEM,34.0,75,75,2437.0,292,722,0.404,133,374,0.356,168,215,0.781,35,244,279,177,131,27,93,201,885
5,2054,2005-06,00,1610612763,MEM,27.0,51,19,732.0,100,165,0.606,0,0,0.0,57,87,0.655,78,134,212,13,14,32,39,107,257
4,2200,2005-06,00,1610612763,MEM,25.0,80,80,3135.0,600,1194,0.503,3,12,0.25,425,617,0.689,191,522,713,371,46,153,235,184,1628
12,757,2005-06,00,1610612763,MEM,32.0,27,27,862.0,114,287,0.397,36,104,0.346,53,62,0.855,23,72,95,128,19,1,55,49,317
0,101124,2005-06,00,1610612763,MEM,23.0,68,2,724.0,101,228,0.443,0,0,0.0,76,115,0.661,43,101,144,30,14,21,56,113,278
8,1517,2005-06,00,1610612763,MEM,33.0,71,15,1775.0,286,748,0.382,129,332,0.389,107,146,0.733,44,179,223,195,61,1,101,155,808
2,2563,2005-06,00,1610612763,MEM,25.0,71,4,967.0,109,263,0.414,3,21,0.143,60,93,0.645,20,84,104,39,38,15,50,108,281
4,2203,2005-06,00,1610612763,MEM,27.0,81,81,2839.0,303,621,0.488,65,165,0.394,147,208,0.707,164,265,429,136,92,114,90,223,818
8,1088,2005-06,00,1610612764,WAS,31.0,28,2,552.0,66,174,0.379,33,92,0.359,22,31,0.71,12,33,45,69,14,0,30,58,187
9,1088,2005-06,00,1610612763,MEM,31.0,43,39,1161.0,160,399,0.401,64,182,0.352,107,132,0.811,11,64,75,129,29,2,57,94,491
10,1088,2005-06,00,0,TOT,31.0,71,41,1713.0,226,573,0.394,97,274,0.354,129,163,0.791,23,97,120,198,43,2,87,152,678
7,2034,2005-06,00,1610612763,MEM,26.0,74,9,2268.0,354,760,0.466,138,339,0.407,168,210,0.8,42,355,397,200,52,27,140,173,1014
5,2073,2005-06,00,1610612763,MEM,29.0,36,0,402.0,46,111,0.414,13,29,0.448,19,27,0.704,11,44,55,33,23,0,27,65,124
9,953,2005-06,00,1610612763,MEM,30.0,78,58,1689.0,194,406,0.478,0,2,0.0,66,117,0.564,142,253,395,48,52,46,67,201,454
0,101160,2005-06,00,1610612763,MEM,23.0,33,0,181.0,20,44,0.455,0,2,0.0,11,23,0.478,26,23,49,5,8,2,5,30,51
