,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
6,201962,2013-14,00,1610612744,GSW,28.0,24,0,265.0,32,86,0.372,19,59,0.322,5,8,0.625,4,22,26,19,6,2,16,34,88
7,201962,2013-14,00,1610612748,MIA,28.0,27,17,410.0,41,104,0.394,12,43,0.279,20,26,0.769,14,47,61,49,13,3,18,47,114
8,201962,2013-14,00,0,TOT,28.0,51,17,675.0,73,190,0.384,31,102,0.304,25,34,0.735,18,69,87,68,19,5,34,81,202
10,2547,2013-14,00,1610612748,MIA,30.0,79,79,2531.0,492,953,0.516,74,218,0.339,223,272,0.82,98,424,522,87,80,78,125,192,1281
10,2548,2013-14,00,1610612748,MIA,32.0,54,53,1775.0,415,761,0.545,9,32,0.281,189,258,0.733,60,181,241,252,79,29,161,106,1028
10,2544,2013-14,00,1610612748,MIA,29.0,77,77,2902.0,767,1353,0.567,116,306,0.379,439,585,0.75,81,452,533,488,121,26,270,126,2089
0,203120,2013-14,00,1610612766,CHA,24.0,1,0,4.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,1,0,0
1,203120,2013-14,00,1610612748,MIA,24.0,7,0,68.0,9,20,0.45,3,9,0.333,5,5,1.0,4,3,7,0,4,0,3,8,26
2,203120,2013-14,00,0,TOT,24.0,8,0,72.0,9,20,0.45,3,9,0.333,5,5,1.0,4,3,7,0,5,0,4,8,26
5,201563,2013-14,00,1610612748,MIA,25.0,55,2,831.0,177,355,0.499,21,54,0.389,61,79,0.772,31,141,172,42,23,21,57,93,436
17,1740,2013-14,00,1610612748,MIA,34.0,60,6,971.0,98,236,0.415,46,134,0.343,26,33,0.788,24,86,110,57,53,8,35,90,268
11,2365,2013-14,00,1610612748,MIA,35.0,72,0,1396.0,177,275,0.644,3,12,0.25,120,169,0.71,129,250,379,19,32,97,53,162,477
5,201596,2013-14,00,1610612748,MIA,28.0,73,73,2178.0,254,560,0.454,87,226,0.385,121,163,0.742,41,173,214,357,119,16,162,210,716
2,201141,2013-14,00,1610612748,MIA,26.0,23,6,212.0,27,49,0.551,0,0,0.0,13,23,0.565,23,31,54,1,7,13,12,52,67
10,2592,2013-14,00,1610612748,MIA,33.0,20,6,236.0,31,68,0.456,28,54,0.519,7,11,0.636,2,21,23,9,3,4,4,6,97
2,202708,2013-14,00,1610612748,MIA,25.0,82,6,2014.0,207,500,0.414,60,174,0.345,53,68,0.779,17,143,160,248,77,5,127,156,527
14,2203,2013-14,00,1610612748,MIA,35.0,73,56,1468.0,105,275,0.382,73,210,0.348,15,23,0.652,34,104,138,63,50,39,21,124,298
19,951,2013-14,00,1610612748,MIA,38.0,73,9,1936.0,240,543,0.442,116,309,0.375,105,116,0.905,23,182,205,143,54,8,84,115,701
10,2617,2013-14,00,1610612748,MIA,34.0,46,18,653.0,74,146,0.507,0,0,0.0,25,44,0.568,42,133,175,13,11,15,24,79,173
