,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
17,2400,2010-11,00,1610612749,MIL,29.0,35,18,860.0,156,362,0.431,3,20,0.15,81,102,0.794,73,165,238,47,21,18,46,98,396
1,201943,2010-11,00,1610612749,MIL,21.0,63,61,2169.0,361,926,0.39,98,303,0.323,199,246,0.809,42,192,234,305,95,21,146,131,1019
11,1894,2010-11,00,1610612749,MIL,31.0,67,18,1401.0,253,559,0.453,28,78,0.359,271,325,0.834,44,197,241,84,21,5,127,175,805
5,101106,2010-11,00,1610612749,MIL,26.0,65,65,2297.0,367,742,0.495,0,4,0.0,96,217,0.442,199,521,720,131,47,168,125,217,830
2,101141,2010-11,00,1610612749,MIL,24.0,60,34,1505.0,221,507,0.436,36,121,0.298,93,104,0.894,105,260,365,56,51,24,63,159,571
0,202336,2010-11,00,1610612749,MIL,22.0,60,12,872.0,116,268,0.433,0,0,0.0,28,50,0.56,59,119,178,16,22,72,38,117,260
5,2568,2010-11,00,1610612749,MIL,28.0,49,40,1590.0,200,513,0.39,105,284,0.37,60,75,0.8,24,176,200,112,76,8,57,72,565
17,1863,2010-11,00,1610612749,MIL,35.0,57,0,862.0,156,352,0.443,27,71,0.38,69,82,0.841,15,40,55,141,38,3,52,43,408
2,201601,2010-11,00,1610612749,MIL,24.0,79,52,2093.0,198,428,0.463,0,7,0.0,133,188,0.707,169,251,420,68,72,28,77,180,529
12,2422,2010-11,00,1610612749,MIL,31.0,73,70,2554.0,373,898,0.415,83,219,0.379,195,240,0.813,27,239,266,252,72,28,137,157,1024
2,201604,2010-11,00,1610612749,MIL,24.0,44,12,884.0,117,273,0.429,15,46,0.326,74,89,0.831,7,81,88,50,29,13,35,73,323
10,2072,2010-11,00,1610612749,MIL,31.0,10,0,134.0,18,45,0.4,4,17,0.235,4,4,1.0,0,8,8,12,2,1,4,4,44
1,201972,2010-11,00,1610612749,MIL,24.0,63,6,677.0,48,94,0.511,0,0,0.0,40,59,0.678,74,110,184,18,14,3,24,119,136
10,2039,2010-11,00,1610612749,MIL,31.0,80,22,1757.0,206,519,0.397,81,234,0.346,78,94,0.83,12,105,117,243,54,4,91,119,571
