,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
0,201628,2008-09,00,1610612758,SAC,24.0,47,1,675.0,94,247,0.381,31,94,0.33,26,34,0.765,8,28,36,87,15,1,47,74,245
1,201628,2008-09,00,1610612750,MIN,24.0,21,1,256.0,47,113,0.416,14,36,0.389,8,9,0.889,6,10,16,30,6,2,16,21,116
2,201628,2008-09,00,0,TOT,24.0,68,2,931.0,141,360,0.392,45,130,0.346,34,43,0.791,14,38,52,117,21,3,63,95,361
4,2742,2008-09,00,1610612750,MIN,24.0,75,43,2095.0,267,697,0.383,73,211,0.346,131,160,0.819,32,95,127,343,73,12,146,184,738
2,200751,2008-09,00,1610612750,MIN,25.0,70,61,2494.0,399,981,0.407,111,308,0.36,230,272,0.846,34,180,214,303,72,26,150,201,1139
2,200783,2008-09,00,1610612750,MIN,25.0,74,31,1460.0,289,514,0.562,0,1,0.0,168,248,0.677,98,186,284,79,31,19,105,184,746
3,101155,2008-09,00,1610612750,MIN,26.0,82,76,2614.0,420,974,0.431,106,285,0.372,146,181,0.807,106,286,392,135,63,22,128,183,1092
2,200760,2008-09,00,1610612750,MIN,25.0,67,6,1199.0,176,423,0.416,79,226,0.35,50,66,0.758,36,90,126,26,45,29,43,94,481
21,1563,2008-09,00,1610612750,MIN,36.0,50,21,850.0,61,150,0.407,0,1,0.0,80,96,0.833,13,62,75,117,19,4,34,79,202
8,2073,2008-09,00,1610612750,MIN,32.0,64,4,909.0,65,169,0.385,30,92,0.326,30,35,0.857,39,103,142,76,37,13,48,135,190
1,201147,2008-09,00,1610612750,MIN,23.0,15,8,307.0,37,90,0.411,5,12,0.417,14,19,0.737,18,31,49,25,15,3,13,37,93
4,200749,2008-09,00,1610612758,SAC,25.0,30,0,305.0,40,89,0.449,0,2,0.0,32,42,0.762,25,53,78,8,12,10,26,36,112
5,200749,2008-09,00,1610612750,MIN,25.0,15,0,207.0,30,68,0.441,0,0,0.0,14,21,0.667,24,51,75,4,10,8,8,28,74
6,200749,2008-09,00,0,TOT,25.0,45,0,513.0,70,157,0.446,0,2,0.0,46,63,0.73,49,104,153,12,22,18,34,64,186
4,2744,2008-09,00,1610612750,MIN,24.0,50,50,1836.0,485,975,0.497,0,4,0.0,186,252,0.738,172,376,548,79,39,83,92,141,1156
10,2034,2008-09,00,1610612750,MIN,29.0,73,47,2356.0,264,548,0.482,85,225,0.378,109,149,0.732,73,410,483,326,30,31,145,139,722
9,2215,2008-09,00,1610612750,MIN,30.0,31,22,422.0,22,70,0.314,0,0,0.0,13,28,0.464,28,42,70,11,9,13,12,73,57
8,2058,2008-09,00,1610612750,MIN,33.0,19,1,116.0,3,14,0.214,0,0,0.0,0,4,0.0,10,8,18,4,1,1,3,18,6
0,201567,2008-09,00,1610612750,MIN,20.0,81,37,2048.0,316,688,0.459,2,19,0.105,265,336,0.789,274,460,734,84,35,50,118,205,899
