,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
6,201936,2015-16,00,1610612740,NOP,26.0,25,25,765.0,136,314,0.433,33,85,0.388,74,93,0.796,20,109,129,164,32,8,73,66,379
3,204025,2015-16,00,1610612757,POR,25.0,35,1,272.0,20,60,0.333,3,17,0.176,8,15,0.533,11,28,39,42,10,1,27,31,51
4,204025,2015-16,00,1610612740,NOP,25.0,16,1,469.0,76,169,0.45,13,31,0.419,45,59,0.763,15,56,71,120,23,1,38,42,210
5,204025,2015-16,00,0,TOT,25.0,51,2,741.0,96,229,0.419,16,48,0.333,53,74,0.716,26,84,110,162,33,2,65,73,261
5,201600,2015-16,00,1610612740,NOP,29.0,68,64,1178.0,104,195,0.533,0,0,0.0,61,112,0.545,120,294,414,26,21,23,60,124,269
1,203516,2015-16,00,1610612748,MIA,25.0,3,0,7.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,1,0
2,203516,2015-16,00,1610612763,MEM,25.0,10,0,40.0,4,13,0.308,2,8,0.25,6,10,0.6,4,3,7,2,4,2,2,1,16
3,203516,2015-16,00,1610612740,NOP,25.0,9,5,282.0,50,100,0.5,24,50,0.48,19,24,0.792,17,18,35,18,12,3,17,26,143
4,203516,2015-16,00,0,TOT,25.0,22,5,329.0,54,113,0.478,26,58,0.448,25,34,0.735,21,21,42,21,16,5,19,28,159
16,2570,2015-16,00,1610612740,NOP,31.0,37,5,542.0,40,75,0.533,0,0,0.0,11,25,0.44,25,103,128,31,11,11,41,64,91
5,202337,2015-16,00,1610612740,NOP,27.0,47,13,845.0,122,289,0.422,44,109,0.404,39,50,0.78,25,123,148,53,11,7,23,90,327
7,201569,2015-16,00,1610612740,NOP,27.0,45,44,1481.0,231,552,0.418,113,294,0.384,111,125,0.888,10,89,99,121,43,14,73,98,686
6,201950,2015-16,00,1610612740,NOP,26.0,65,23,1831.0,410,935,0.439,87,259,0.336,182,216,0.843,27,168,195,391,88,22,167,148,1089
11,202087,2015-16,00,1610612740,NOP,29.0,73,38,1632.0,132,255,0.518,17,60,0.283,44,66,0.667,60,185,245,72,63,13,55,169,325
10,201962,2015-16,00,1610612740,NOP,30.0,61,18,1262.0,183,445,0.411,81,203,0.399,84,99,0.848,25,118,143,157,70,5,64,131,531
3,203076,2015-16,00,1610612740,NOP,23.0,61,61,2164.0,560,1136,0.493,35,108,0.324,326,430,0.758,130,497,627,116,78,125,121,148,1481
6,202706,2015-16,00,1610612740,NOP,25.0,11,4,304.0,49,116,0.422,13,45,0.289,14,21,0.667,12,50,62,25,8,3,17,24,125
6,202708,2015-16,00,1610612740,NOP,27.0,45,23,1198.0,196,484,0.405,33,102,0.324,52,65,0.8,10,141,151,167,37,5,75,102,477
7,201583,2015-16,00,1610612740,NOP,28.0,66,7,2008.0,397,929,0.427,131,358,0.366,199,228,0.873,131,265,396,73,38,25,90,109,1124
7,201582,2015-16,00,1610612740,NOP,28.0,59,17,861.0,150,315,0.476,0,1,0.0,52,62,0.839,75,194,269,31,19,36,54,134,352
8,201967,2015-16,00,1610612740,NOP,29.0,80,46,1971.0,186,412,0.451,55,174,0.316,57,82,0.695,57,179,236,77,42,33,41,173,484
