,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
8,202683,2017-18,00,1610612752,NYK,26.0,71,71,1830.0,422,713,0.592,0,2,0.0,156,184,0.848,273,507,780,105,36,37,122,187,1000
3,1627786,2017-18,00,1610612745,HOU,23.0,4,0,17.0,2,9,0.222,0,5,0.0,1,3,0.333,1,3,4,1,1,0,1,2,5
4,1627786,2017-18,00,1610612752,NYK,23.0,17,1,290.0,49,100,0.49,11,33,0.333,19,27,0.704,21,38,59,15,19,4,18,32,128
5,1627786,2017-18,00,0,TOT,23.0,21,1,307.0,51,109,0.468,11,38,0.289,20,30,0.667,22,41,63,16,20,4,19,34,133
2,1626144,2017-18,00,1610612743,DEN,22.0,42,0,752.0,129,322,0.401,38,102,0.373,63,78,0.808,16,78,94,121,21,4,72,47,359
3,1626144,2017-18,00,1610612752,NYK,22.0,22,14,493.0,75,204,0.368,9,46,0.196,35,51,0.686,10,48,58,85,20,7,41,33,194
4,1626144,2017-18,00,0,TOT,22.0,64,14,1244.0,204,526,0.388,47,148,0.318,98,129,0.76,26,126,152,206,41,11,113,80,553
0,1628436,2017-18,00,1610612752,NYK,22.0,20,1,326.0,49,125,0.392,28,79,0.354,8,11,0.727,11,53,64,26,6,16,12,28,134
4,203501,2017-18,00,1610612752,NYK,26.0,57,54,1885.0,360,856,0.421,130,410,0.317,146,179,0.816,32,192,224,155,62,10,92,123,996
0,1628439,2017-18,00,1610612752,NYK,23.0,18,0,239.0,33,72,0.458,2,9,0.222,12,18,0.667,10,31,41,16,2,4,16,45,80
13,201584,2017-18,00,1610612752,NYK,32.0,76,69,2310.0,343,755,0.454,113,278,0.406,114,124,0.919,30,194,224,180,80,17,84,109,913
2,204001,2017-18,00,1610612752,NYK,22.0,48,48,1553.0,390,889,0.439,90,228,0.395,218,275,0.793,62,254,316,57,36,115,93,141,1088
9,201563,2017-18,00,1610612752,NYK,29.0,74,30,1653.0,409,807,0.507,34,86,0.395,124,159,0.78,97,317,414,123,36,43,143,145,976
5,203124,2017-18,00,1610612752,NYK,28.0,77,10,1387.0,224,384,0.583,4,17,0.235,98,127,0.772,121,349,470,158,36,98,100,192,550
0,1628373,2017-18,00,1610612752,NYK,19.0,78,9,1706.0,182,500,0.364,50,157,0.318,49,68,0.721,37,140,177,250,65,18,131,181,463
10,201149,2017-18,00,1610612752,NYK,33.0,7,0,40.0,5,10,0.5,0,0,0.0,2,4,0.5,6,8,14,4,2,2,4,5,12
0,1628422,2017-18,00,1610612752,NYK,24.0,44,2,474.0,72,161,0.447,22,68,0.324,16,23,0.696,9,75,84,31,12,2,17,34,182
4,203504,2017-18,00,1610612752,NYK,25.0,36,9,785.0,193,384,0.503,38,105,0.362,37,57,0.649,13,58,71,170,24,4,43,43,461
1,1627758,2017-18,00,1610612752,NYK,25.0,29,1,385.0,20,59,0.339,11,33,0.333,20,26,0.769,5,25,30,47,26,6,18,33,71
8,202498,2017-18,00,1610612752,NYK,30.0,73,31,1353.0,102,267,0.382,50,124,0.403,44,53,0.83,44,131,175,44,30,14,41,134,298
14,101127,2017-18,00,1610612752,NYK,34.0,62,56,1548.0,189,443,0.427,25,86,0.291,63,75,0.84,22,169,191,348,35,4,115,98,466
