,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
7,201566,2015-16,00,1610612760,OKC,27.0,80,80,2750.0,656,1444,0.454,101,341,0.296,465,573,0.812,145,481,626,834,163,20,342,200,1878
9,201627,2015-16,00,1610612760,OKC,30.0,68,6,926.0,136,333,0.408,79,204,0.387,29,39,0.744,10,52,62,24,22,5,17,64,380
5,203079,2015-16,00,1610612760,OKC,24.0,78,15,2152.0,282,706,0.399,86,240,0.358,112,157,0.713,36,166,202,154,81,15,120,143,762
11,2555,2015-16,00,1610612760,OKC,35.0,59,4,699.0,50,109,0.459,0,2,0.0,23,33,0.697,68,103,171,52,15,16,50,107,123
5,202713,2015-16,00,1610612760,OKC,28.0,68,2,977.0,86,221,0.389,30,97,0.309,29,44,0.659,50,91,141,24,30,9,32,120,231
9,200751,2015-16,00,1610612743,DEN,32.0,54,7,1070.0,117,333,0.351,50,169,0.296,39,47,0.83,16,89,105,112,26,16,58,83,323
10,200751,2015-16,00,1610612760,OKC,32.0,27,1,572.0,52,149,0.349,25,81,0.309,22,27,0.815,8,43,51,49,13,13,28,48,151
11,200751,2015-16,00,0,TOT,32.0,81,8,1642.0,169,482,0.351,75,250,0.3,61,74,0.824,24,132,156,161,39,29,86,131,474
6,201586,2015-16,00,1610612760,OKC,26.0,78,78,2500.0,416,869,0.479,60,184,0.326,91,121,0.752,141,392,533,66,38,148,108,211,983
6,202683,2015-16,00,1610612760,OKC,24.0,82,1,1721.0,414,719,0.576,10,21,0.476,200,251,0.797,249,415,664,33,26,33,115,166,1038
2,203500,2015-16,00,1610612760,OKC,22.0,80,80,2014.0,261,426,0.613,0,0,0.0,114,196,0.582,219,314,533,62,42,89,84,223,636
27,1737,2015-16,00,1610612760,OKC,38.0,5,0,19.0,3,5,0.6,0,0,0.0,2,2,1.0,1,3,4,0,0,0,3,4,8
2,203460,2015-16,00,1610612760,OKC,24.0,70,70,1553.0,136,274,0.496,32,103,0.311,33,54,0.611,79,172,251,47,53,42,35,133,337
0,1626166,2015-16,00,1610612760,OKC,21.0,57,1,698.0,114,278,0.41,36,111,0.324,19,24,0.792,9,76,85,108,36,6,44,80,283
1,203956,2015-16,00,1610612760,OKC,24.0,20,0,72.0,11,23,0.478,0,4,0.0,4,10,0.4,4,14,18,3,1,2,7,10,26
0,203962,2015-16,00,1610612760,OKC,24.0,5,0,55.0,5,12,0.417,4,6,0.667,0,4,0.0,2,8,10,0,1,2,3,3,14
8,201142,2015-16,00,1610612760,OKC,27.0,72,72,2578.0,698,1381,0.505,186,481,0.387,447,498,0.898,45,544,589,361,69,85,250,137,2029
