,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
3,1628371,2022-23,00,1610612753,ORL,25.0,11,0,124.0,22,53,0.415,6,15,0.4,5,9,0.556,15,29,44,6,14,4,4,5,55
0,1631216,2022-23,00,1610612753,ORL,20.0,51,4,812.0,66,182,0.363,46,136,0.338,15,18,0.833,34,65,99,30,12,7,18,63,193
2,1629643,2022-23,00,1610612753,ORL,24.0,27,8,518.0,43,122,0.352,26,86,0.302,16,21,0.762,26,70,96,37,19,11,17,40,128
1,1630591,2022-23,00,1610612753,ORL,22.0,53,19,1246.0,186,444,0.419,66,202,0.327,86,119,0.723,55,106,161,155,67,27,94,120,524
0,1631094,2022-23,00,1610612753,ORL,20.0,72,72,2430.0,479,1122,0.427,85,285,0.298,394,534,0.738,84,413,497,269,60,39,200,160,1437
0,1630284,2022-23,00,1610612753,ORL,26.0,34,0,457.0,47,107,0.439,16,43,0.372,31,41,0.756,28,42,70,16,17,5,21,53,141
3,1629626,2022-23,00,1610612753,ORL,23.0,70,33,1505.0,261,478,0.546,30,113,0.265,82,108,0.759,69,336,405,69,30,85,112,92,634
12,203487,2022-23,00,1610612753,ORL,31.0,4,0,44.0,6,14,0.429,1,3,0.333,4,7,0.571,1,4,5,7,1,1,4,5,17
10,203914,2022-23,00,1610612753,ORL,28.0,48,42,1184.0,138,307,0.45,94,218,0.431,27,30,0.9,21,77,98,59,45,12,28,93,397
5,1628365,2022-23,00,1610612753,ORL,25.0,60,60,1778.0,349,679,0.514,27,87,0.31,112,143,0.783,69,165,234,341,87,26,139,131,837
7,1629021,2022-23,00,1610612753,ORL,26.0,57,18,1109.0,198,396,0.5,51,163,0.313,153,182,0.841,69,190,259,84,37,13,68,136,600
1,1630532,2022-23,00,1610612753,ORL,21.0,80,80,2609.0,542,1118,0.485,130,360,0.361,271,322,0.842,70,259,329,283,77,17,167,183,1485
2,1629678,2022-23,00,1610612753,ORL,26.0,37,0,451.0,55,122,0.451,24,74,0.324,21,23,0.913,23,39,62,31,8,5,16,61,155
6,1628976,2022-23,00,1610612753,ORL,24.0,57,54,1690.0,322,613,0.525,80,225,0.356,144,195,0.738,120,377,497,132,30,33,106,159,868
2,1630175,2022-23,00,1610612753,ORL,23.0,60,4,1552.0,277,610,0.454,75,206,0.364,152,170,0.894,47,241,288,235,37,31,91,158,781
3,1629048,2022-23,00,1610612754,IND,23.0,21,0,202.0,27,52,0.519,4,14,0.286,11,24,0.458,25,24,49,18,9,10,12,34,69
4,1629048,2022-23,00,1610612753,ORL,23.0,17,1,255.0,42,73,0.575,2,12,0.167,12,18,0.667,36,52,88,21,7,16,10,30,98
5,1629048,2022-23,00,0,TOT,23.0,38,1,457.0,69,125,0.552,6,26,0.231,23,42,0.548,61,76,137,39,16,26,22,64,167
