,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
4,2223,2006-07,00,1610612755,PHI,27.0,82,82,2535.0,356,658,0.541,0,2,0.0,167,224,0.746,239,494,733,64,47,159,161,287,879
7,1889,2006-07,00,1610612743,DEN,31.0,23,23,822.0,117,248,0.472,4,16,0.25,62,85,0.729,25,79,104,209,37,4,70,58,300
8,1889,2006-07,00,1610612755,PHI,31.0,57,56,2144.0,307,661,0.464,1,19,0.053,160,198,0.808,72,176,248,416,73,6,152,126,775
9,1889,2006-07,00,0,TOT,31.0,80,79,2966.0,424,909,0.466,5,35,0.143,222,283,0.784,97,255,352,625,110,10,222,184,1075
13,693,2006-07,00,1610612743,DEN,31.0,11,0,148.0,23,48,0.479,0,1,0.0,10,12,0.833,13,27,40,3,6,7,13,23,56
14,693,2006-07,00,1610612755,PHI,31.0,54,11,1355.0,191,429,0.445,0,4,0.0,115,136,0.846,107,253,360,46,31,20,63,125,497
15,693,2006-07,00,0,TOT,31.0,65,11,1503.0,214,477,0.449,0,5,0.0,125,148,0.845,120,280,400,49,37,27,76,148,553
2,2738,2006-07,00,1610612755,PHI,23.0,76,76,3062.0,443,991,0.447,48,155,0.31,452,551,0.82,77,357,434,432,152,33,261,200,1386
0,200784,2006-07,00,1610612755,PHI,23.0,44,5,336.0,43,93,0.462,1,9,0.111,23,41,0.561,22,35,57,16,11,1,18,59,110
19,1563,2006-07,00,1610612755,PHI,34.0,53,23,919.0,81,187,0.433,0,2,0.0,37,45,0.822,8,66,74,130,21,1,47,76,199
0,200811,2006-07,00,1610612762,UTA,24.0,1,0,2.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0
1,200811,2006-07,00,1610612755,PHI,24.0,10,0,87.0,6,15,0.4,0,0,0.0,4,10,0.4,13,15,28,1,1,8,5,15,16
2,200811,2006-07,00,0,TOT,24.0,11,0,89.0,6,15,0.4,0,0,0.0,4,10,0.4,13,15,28,1,1,8,5,15,16
1,101150,2006-07,00,1610612755,PHI,20.0,61,0,688.0,93,211,0.441,12,37,0.324,64,92,0.696,17,53,70,110,22,1,46,42,262
0,200760,2006-07,00,1610612755,PHI,23.0,67,35,1169.0,182,392,0.464,25,72,0.347,53,87,0.609,39,89,128,26,38,23,43,118,442
3,2594,2006-07,00,1610612755,PHI,26.0,74,1,2288.0,372,845,0.44,132,307,0.43,191,209,0.914,30,229,259,105,57,20,117,188,1067
3,2584,2006-07,00,1610612755,PHI,25.0,74,36,1842.0,357,868,0.411,51,157,0.325,74,111,0.667,42,116,158,112,56,4,106,144,839
1,101183,2006-07,00,1610612755,PHI,23.0,13,6,179.0,23,48,0.479,0,0,0.0,12,22,0.545,19,35,54,4,7,10,9,23,58
11,673,2006-07,00,1610612755,PHI,34.0,38,5,418.0,43,67,0.642,0,0,0.0,33,47,0.702,48,59,107,10,9,12,12,62,119
5,2212,2006-07,00,1610612755,PHI,25.0,70,41,1605.0,188,326,0.577,0,0,0.0,74,151,0.49,114,221,335,26,13,76,65,137,450
