,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
6,2405,2008-09,00,1610612756,PHX,26.0,53,53,1948.0,404,749,0.539,3,7,0.429,323,387,0.835,116,314,430,104,49,57,150,163,1134
0,201609,2008-09,00,1610612756,PHX,23.0,55,1,728.0,88,224,0.393,20,54,0.37,50,65,0.769,33,70,103,111,29,3,73,87,246
1,201162,2008-09,00,1610612766,CHA,23.0,20,7,427.0,45,96,0.469,3,8,0.375,15,24,0.625,25,34,59,19,18,2,10,40,108
2,201162,2008-09,00,1610612756,PHX,23.0,48,0,728.0,91,189,0.481,26,66,0.394,56,81,0.691,57,89,146,37,39,6,33,65,264
3,201162,2008-09,00,0,TOT,23.0,68,7,1156.0,136,285,0.477,29,74,0.392,71,105,0.676,82,123,205,56,57,8,43,105,372
10,2031,2008-09,00,1610612751,NJN,29.0,6,0,64.0,9,15,0.6,0,0,0.0,5,11,0.455,5,8,13,1,0,2,7,15,23
11,2031,2008-09,00,1610612756,PHX,29.0,13,0,121.0,15,41,0.366,1,1,1.0,8,15,0.533,11,22,33,2,4,6,9,25,39
12,2031,2008-09,00,0,TOT,29.0,19,0,184.0,24,56,0.429,1,1,1.0,13,26,0.5,16,30,46,3,4,8,16,40,62
5,2571,2008-09,00,1610612756,PHX,26.0,70,11,1705.0,366,759,0.482,90,240,0.375,171,194,0.881,34,147,181,162,82,7,93,115,993
12,959,2008-09,00,1610612756,PHX,35.0,74,74,2484.0,428,851,0.503,108,246,0.439,196,210,0.933,19,204,223,717,55,10,248,108,1160
0,201577,2008-09,00,1610612756,PHX,21.0,60,7,614.0,71,137,0.518,0,1,0.0,47,68,0.691,52,66,118,8,11,41,28,97,189
4,200811,2008-09,00,1610612756,PHX,26.0,76,0,1044.0,134,250,0.536,0,1,0.0,53,120,0.442,128,142,270,28,32,65,56,154,321
7,2440,2008-09,00,1610612756,PHX,29.0,77,40,2082.0,285,674,0.423,117,341,0.343,101,136,0.743,79,342,421,212,52,26,130,209,788
7,2202,2008-09,00,1610612766,CHA,28.0,14,14,491.0,97,220,0.441,27,59,0.458,41,55,0.745,13,45,58,36,14,3,24,43,262
8,2202,2008-09,00,1610612756,PHX,28.0,58,57,1919.0,368,754,0.488,102,266,0.383,112,144,0.778,64,197,261,110,62,25,71,103,950
9,2202,2008-09,00,0,TOT,28.0,72,71,2410.0,465,974,0.477,129,325,0.397,153,199,0.769,77,242,319,146,76,28,95,146,1212
1,201169,2008-09,00,1610612756,PHX,25.0,30,1,282.0,52,121,0.43,8,23,0.348,26,33,0.788,19,12,31,12,5,1,14,14,138
18,406,2008-09,00,1610612756,PHX,37.0,75,75,2252.0,512,841,0.609,0,1,0.0,309,519,0.595,187,446,633,126,49,108,168,253,1333
13,255,2008-09,00,1610612756,PHX,36.0,82,68,2445.0,390,745,0.523,24,76,0.316,181,224,0.808,64,341,405,186,90,54,126,182,985
