,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
5,203081,2017-18,00,1610612757,POR,27.0,73,73,2670.0,621,1415,0.439,227,629,0.361,493,538,0.916,62,263,325,481,77,27,206,117,1962
9,202323,2017-18,00,1610612757,POR,29.0,79,40,2034.0,258,577,0.447,42,132,0.318,91,107,0.85,30,214,244,173,47,29,99,163,649
1,1627735,2017-18,00,1610612757,POR,22.0,7,0,80.0,14,21,0.667,4,5,0.8,6,10,0.6,1,7,8,5,2,1,4,12,38
4,203468,2017-18,00,1610612757,POR,26.0,81,81,2924.0,667,1505,0.443,189,476,0.397,209,250,0.836,53,268,321,272,77,35,151,168,1732
5,203090,2017-18,00,1610612757,POR,25.0,59,37,1264.0,147,297,0.495,49,118,0.415,42,59,0.712,46,116,162,53,48,43,40,103,385
2,1626192,2017-18,00,1610612757,POR,25.0,82,5,1488.0,165,390,0.423,74,210,0.352,37,44,0.841,36,125,161,91,23,22,43,120,441
3,203894,2017-18,00,1610612757,POR,26.0,74,9,1536.0,223,531,0.42,82,218,0.376,116,138,0.841,26,144,170,150,81,14,90,84,644
7,202329,2017-18,00,1610612757,POR,27.0,69,67,2072.0,230,582,0.395,125,339,0.369,59,80,0.738,97,428,525,84,79,40,79,136,644
1,1627774,2017-18,00,1610612757,POR,24.0,35,1,160.0,14,47,0.298,4,20,0.2,2,3,0.667,4,12,16,11,6,4,5,13,34
5,203086,2017-18,00,1610612757,POR,26.0,33,2,254.0,46,78,0.59,11,26,0.423,9,11,0.818,12,58,70,17,7,0,10,36,112
9,202334,2017-18,00,1610612757,POR,29.0,78,0,1471.0,170,292,0.582,0,1,0.0,74,111,0.667,183,392,575,40,32,52,66,188,414
1,1627834,2017-18,00,1610612758,SAC,20.0,16,0,118.0,17,41,0.415,0,0,0.0,0,0,0.0,12,24,36,9,2,6,8,12,34
2,1627834,2017-18,00,1610612757,POR,20.0,1,0,4.0,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0,2,0,0,0,2
3,1627834,2017-18,00,0,TOT,20.0,17,0,122.0,18,42,0.429,0,0,0.0,0,0,0.0,13,24,37,9,4,6,8,12,36
5,203994,2017-18,00,1610612757,POR,23.0,79,79,2088.0,480,951,0.505,0,7,0.0,172,273,0.63,189,519,708,143,64,111,183,247,1132
0,1628380,2017-18,00,1610612757,POR,20.0,66,1,1045.0,115,289,0.398,35,113,0.31,27,42,0.643,45,176,221,52,17,31,58,133,292
0,1628403,2017-18,00,1610612757,POR,21.0,27,3,189.0,24,60,0.4,1,8,0.125,12,18,0.667,15,39,54,14,5,3,18,37,61
