,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
1,203492,2014-15,00,1610612758,SAC,24.0,68,30,1436.0,206,470,0.438,34,111,0.306,57,84,0.679,52,128,180,188,45,11,85,92,503
12,200797,2014-15,00,1610612758,SAC,30.0,46,9,441.0,53,82,0.646,0,0,0.0,31,54,0.574,36,67,103,14,6,19,25,65,137
5,201954,2014-15,00,1610612758,SAC,27.0,45,45,1565.0,260,550,0.473,60,161,0.373,145,184,0.788,19,124,143,252,67,14,112,95,725
12,200752,2014-15,00,1610612758,SAC,28.0,68,67,2408.0,508,1116,0.455,79,220,0.359,337,393,0.858,98,301,399,250,71,41,183,157,1432
0,204065,2014-15,00,1610612758,SAC,24.0,3,0,33.0,2,6,0.333,1,2,0.5,3,6,0.5,0,2,2,9,2,0,4,1,8
0,203917,2014-15,00,1610612758,SAC,21.0,73,1,1127.0,108,296,0.365,48,149,0.322,55,64,0.859,11,77,88,67,20,17,40,92,319
5,202682,2014-15,00,1610612758,SAC,24.0,74,6,1462.0,217,485,0.447,49,156,0.314,134,196,0.684,41,161,202,50,34,4,56,67,617
4,202326,2014-15,00,1610612758,SAC,24.0,59,59,2013.0,498,1066,0.467,2,8,0.25,423,541,0.782,185,562,747,210,90,103,254,241,1421
5,201956,2014-15,00,1610612758,SAC,27.0,67,19,1416.0,209,427,0.489,35,87,0.402,140,191,0.733,54,206,260,102,31,9,88,107,593
19,1889,2014-15,00,1610612764,WAS,39.0,51,0,631.0,77,142,0.542,1,8,0.125,28,39,0.718,21,56,77,143,14,2,46,56,183
20,1889,2014-15,00,1610612758,SAC,39.0,30,0,622.0,68,148,0.459,6,26,0.231,30,38,0.789,16,60,76,141,18,4,58,47,172
21,1889,2014-15,00,0,TOT,39.0,81,0,1253.0,145,290,0.5,7,34,0.206,58,77,0.753,37,116,153,284,32,6,104,103,355
1,203463,2014-15,00,1610612758,SAC,22.0,82,82,2670.0,363,831,0.437,140,391,0.358,130,160,0.813,31,210,241,140,77,19,138,219,996
11,201171,2014-15,00,1610612758,SAC,31.0,70,15,1192.0,190,369,0.515,0,0,0.0,123,150,0.82,99,169,268,26,15,17,54,132,503
0,203961,2014-15,00,1610612758,SAC,23.0,3,0,2.0,1,1,1.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,2
16,2501,2014-15,00,1610612758,SAC,35.0,47,7,764.0,58,137,0.423,0,2,0.0,60,97,0.619,97,202,299,32,22,5,45,91,176
6,201574,2014-15,00,1610612758,SAC,28.0,81,63,1991.0,201,428,0.47,0,1,0.0,89,143,0.622,139,391,530,85,33,57,84,239,491
