,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
3,1507,2000-01,00,1610612759,SAS,26.0,82,82,2860.0,413,993,0.416,101,253,0.399,342,402,0.851,75,288,363,301,120,14,165,188,1269
14,70,2000-01,00,1610612759,SAS,35.0,55,1,652.0,67,159,0.421,33,77,0.429,14,15,0.933,6,29,35,57,16,1,21,30,181
16,422,2000-01,00,1610612759,SAS,36.0,55,20,1288.0,134,300,0.447,1,6,0.167,41,60,0.683,21,64,85,237,33,4,60,90,310
3,1495,2000-01,00,1610612759,SAS,25.0,82,82,3174.0,702,1406,0.499,7,27,0.259,409,662,0.618,259,738,997,245,70,192,242,247,1820
15,345,2000-01,00,1610612759,SAS,38.0,80,42,1679.0,197,440,0.448,87,205,0.424,92,116,0.793,24,177,201,251,52,11,104,88,573
4,990,2000-01,00,1610612759,SAS,26.0,57,9,1219.0,160,368,0.435,3,17,0.176,114,160,0.713,95,213,308,48,59,40,74,148,437
11,251,2000-01,00,1610612759,SAS,33.0,52,34,1230.0,147,339,0.434,55,129,0.426,60,84,0.714,17,153,170,81,23,25,51,80,409
3,1498,2000-01,00,1610612759,SAS,26.0,79,23,2063.0,275,588,0.468,74,183,0.404,121,156,0.776,26,137,163,304,61,14,109,120,745
10,198,2000-01,00,1610612759,SAS,34.0,80,29,1687.0,178,375,0.475,70,156,0.449,22,30,0.733,55,168,223,71,28,21,50,169,448
2,1035,2000-01,00,1610612759,SAS,29.0,27,1,142.0,17,41,0.415,0,0,0.0,9,22,0.409,23,27,50,4,5,6,11,23,43
11,764,2000-01,00,1610612759,SAS,35.0,80,80,2371.0,400,823,0.486,0,1,0.0,351,470,0.747,208,483,691,116,80,197,122,212,1151
4,955,2000-01,00,1610612759,SAS,25.0,61,1,966.0,121,252,0.48,1,3,0.333,78,124,0.629,67,176,243,29,10,41,68,103,321
