,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
12,101139,2017-18,00,1610612761,TOR,31.0,70,3,1337.0,227,599,0.379,164,454,0.361,81,97,0.835,18,134,152,55,37,21,39,134,699
0,1628384,2017-18,00,1610612761,TOR,20.0,74,62,1481.0,163,346,0.471,73,197,0.371,39,62,0.629,44,140,184,55,52,14,45,130,438
3,203485,2017-18,00,1610612761,TOR,27.0,14,0,139.0,14,34,0.412,2,12,0.167,2,2,1.0,1,14,15,13,5,0,3,7,32
13,200768,2017-18,00,1610612761,TOR,32.0,78,78,2510.0,403,944,0.427,238,596,0.399,223,261,0.854,66,368,434,537,85,19,183,192,1267
10,201586,2017-18,00,1610612761,TOR,28.0,76,76,2093.0,379,784,0.483,107,297,0.36,94,118,0.797,78,400,478,62,29,99,90,209,959
8,201942,2017-18,00,1610612761,TOR,28.0,80,80,2712.0,645,1413,0.456,89,287,0.31,461,559,0.825,59,256,315,417,85,22,175,151,1840
0,1626259,2017-18,00,1610612761,TOR,25.0,15,4,126.0,13,28,0.464,8,21,0.381,4,4,1.0,4,11,15,3,1,2,5,10,38
5,202685,2017-18,00,1610612761,TOR,26.0,77,77,1727.0,390,687,0.568,30,74,0.405,170,211,0.806,183,477,660,81,29,69,115,192,980
1,1627781,2017-18,00,1610612758,SAC,22.0,25,4,319.0,29,88,0.33,12,39,0.308,17,22,0.773,5,28,33,13,10,1,10,27,87
2,1627781,2017-18,00,1610612761,TOR,22.0,1,0,5.0,1,2,0.5,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,2
3,1627781,2017-18,00,0,TOT,22.0,26,4,323.0,30,90,0.333,12,40,0.3,17,22,0.773,5,29,34,13,10,1,10,27,89
1,1627832,2017-18,00,1610612761,TOR,24.0,76,0,1520.0,232,545,0.426,108,261,0.414,84,101,0.832,25,159,184,243,68,19,74,130,656
2,1626181,2017-18,00,1610612761,TOR,25.0,70,18,1062.0,150,374,0.401,53,186,0.285,32,39,0.821,14,105,119,89,37,16,66,111,385
0,1628035,2017-18,00,1610612761,TOR,25.0,14,0,53.0,8,15,0.533,3,9,0.333,2,3,0.667,1,6,7,1,1,1,3,8,21
1,1627751,2017-18,00,1610612761,TOR,22.0,82,0,1524.0,253,384,0.659,1,2,0.5,60,101,0.594,165,228,393,57,39,100,85,212,567
1,1627783,2017-18,00,1610612761,TOR,24.0,81,5,1679.0,253,498,0.508,29,132,0.22,54,87,0.621,79,285,364,159,62,42,67,166,589
2,1626153,2017-18,00,1610612761,TOR,26.0,69,4,1433.0,201,432,0.465,56,153,0.366,97,117,0.829,45,153,198,200,72,33,78,81,555
3,203512,2017-18,00,1610612761,TOR,25.0,49,3,418.0,49,80,0.613,5,19,0.263,19,28,0.679,18,69,87,22,23,43,16,49,122
