,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
16,1510,2008-09,00,1610612762,UTA,33.0,74,0,938.0,66,189,0.349,0,6,0.0,48,64,0.75,13,75,88,190,68,4,66,98,180
6,2430,2008-09,00,1610612762,UTA,27.0,37,37,1197.0,251,512,0.49,0,0,0.0,97,139,0.698,111,274,385,79,39,7,79,132,599
3,101114,2008-09,00,1610612762,UTA,25.0,68,68,2505.0,463,984,0.471,70,226,0.31,326,384,0.849,24,171,195,725,73,20,228,134,1322
2,200758,2008-09,00,1610612762,UTA,24.0,81,80,2605.0,421,828,0.508,22,85,0.259,247,352,0.702,101,199,300,179,138,30,110,128,1111
6,2246,2008-09,00,1610612762,UTA,30.0,72,72,2409.0,431,888,0.485,90,202,0.446,273,334,0.817,124,433,557,120,54,53,132,219,1225
10,1723,2008-09,00,1610612762,UTA,33.0,63,2,693.0,111,241,0.461,0,2,0.0,55,72,0.764,47,76,123,28,29,9,29,102,277
3,101179,2008-09,00,1610612762,UTA,26.0,52,17,738.0,77,203,0.379,19,61,0.311,34,45,0.756,12,57,69,108,39,5,61,74,207
1,201165,2008-09,00,1610612762,UTA,24.0,25,1,255.0,33,81,0.407,5,17,0.294,21,26,0.808,9,27,36,7,4,4,16,31,92
2,200794,2008-09,00,1610612762,UTA,24.0,76,38,2290.0,400,749,0.534,0,4,0.0,228,326,0.699,251,403,654,138,78,73,129,288,1028
7,2594,2008-09,00,1610612762,UTA,28.0,78,2,1874.0,245,560,0.438,103,267,0.386,112,127,0.882,35,223,258,137,47,30,90,170,705
7,2260,2008-09,00,1610612762,UTA,30.0,26,3,201.0,16,35,0.457,0,0,0.0,8,11,0.727,20,17,37,7,2,1,9,35,40
3,101139,2008-09,00,1610612762,UTA,22.0,72,72,1623.0,258,562,0.459,63,179,0.352,78,89,0.876,45,122,167,107,46,15,64,187,657
0,201585,2008-09,00,1610612762,UTA,20.0,48,7,565.0,94,185,0.508,0,0,0.0,36,51,0.706,50,88,138,20,12,31,26,70,224
1,201178,2008-09,00,1610612762,UTA,22.0,21,1,156.0,21,36,0.583,0,0,0.0,7,21,0.333,14,23,37,4,7,15,9,35,49
7,1905,2008-09,00,1610612762,UTA,28.0,67,10,1831.0,256,570,0.449,20,73,0.274,244,311,0.785,84,235,319,175,83,77,121,127,776
