,PLAYER_ID,SEASON_ID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,PLAYER_AGE,GP,GS,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS
2,1628990,2020-21,00,1610612741,CHI,25.0,7,0,64.0,5,18,0.278,1,3,0.333,2,2,1.0,1,19,20,4,1,0,5,9,13
3,1628990,2020-21,00,1610612764,WAS,25.0,18,1,282.0,34,85,0.4,7,19,0.368,19,23,0.826,5,53,58,13,11,5,15,24,94
4,1628990,2020-21,00,0,TOT,25.0,25,1,346.0,39,103,0.379,8,22,0.364,21,25,0.84,6,72,78,17,12,5,20,33,107
8,203078,2020-21,00,1610612764,WAS,28.0,60,60,2147.0,670,1382,0.485,130,373,0.349,408,459,0.889,72,211,283,265,69,22,187,140,1878
12,201566,2020-21,00,1610612764,WAS,32.0,65,65,2369.0,544,1238,0.439,86,273,0.315,271,413,0.656,109,641,750,763,89,23,312,190,1445
0,1630216,2020-21,00,1610612764,WAS,23.0,22,0,98.0,14,33,0.424,8,17,0.471,5,6,0.833,0,9,9,12,2,1,5,8,41
1,1629060,2020-21,00,1610612764,WAS,23.0,57,57,1797.0,310,648,0.478,45,137,0.328,124,161,0.77,49,263,312,82,44,7,68,120,789
0,1630166,2020-21,00,1610612764,WAS,20.0,54,32,1257.0,130,312,0.417,53,168,0.315,29,45,0.644,22,240,262,63,32,15,33,140,342
3,1628418,2020-21,00,1610612764,WAS,23.0,10,10,271.0,59,91,0.648,9,21,0.429,16,24,0.667,18,43,61,15,4,8,11,31,143
20,202397,2020-21,00,1610612764,WAS,32.0,44,1,924.0,129,297,0.434,18,49,0.367,19,33,0.576,22,128,150,172,32,13,41,62,295
12,201577,2020-21,00,1610612764,WAS,33.0,71,9,1354.0,269,425,0.633,5,18,0.278,99,137,0.723,141,131,272,55,15,44,75,109,642
0,1630264,2020-21,00,1610612764,WAS,28.0,26,4,218.0,30,60,0.5,7,24,0.292,13,16,0.813,16,35,51,11,10,4,8,27,80
2,1629067,2020-21,00,1610612764,WAS,21.0,40,8,432.0,30,81,0.37,13,47,0.277,5,8,0.625,18,48,66,23,11,9,22,63,78
5,203526,2020-21,00,1610612764,WAS,29.0,64,22,1403.0,209,447,0.468,64,164,0.39,75,85,0.882,28,128,156,146,73,6,53,109,557
1,1629655,2020-21,00,1610612741,CHI,22.0,31,11,383.0,60,87,0.69,0,0,0.0,27,41,0.659,44,59,103,17,11,34,22,54,147
2,1629655,2020-21,00,1610612764,WAS,22.0,23,0,408.0,94,138,0.681,0,0,0.0,45,67,0.672,50,78,128,12,15,41,19,44,233
3,1629655,2020-21,00,0,TOT,22.0,54,11,791.0,154,225,0.684,0,0,0.0,72,108,0.667,94,137,231,29,26,75,41,98,380
1,1629726,2020-21,00,1610612764,WAS,24.0,64,24,1038.0,97,237,0.409,76,198,0.384,84,95,0.884,16,71,87,26,29,7,10,106,354
9,203458,2020-21,00,1610612761,TOR,28.0,7,2,76.0,5,10,0.5,3,6,0.5,3,6,0.5,0,11,11,3,1,6,8,10,16
10,203458,2020-21,00,1610612764,WAS,28.0,57,40,903.0,166,268,0.619,5,19,0.263,70,110,0.636,78,171,249,46,19,58,47,117,407
11,203458,2020-21,00,0,TOT,28.0,64,42,979.0,171,278,0.615,8,25,0.32,73,116,0.629,78,182,260,49,20,64,55,127,423
4,202722,2020-21,00,1610612764,WAS,28.0,57,7,1464.0,193,478,0.404,169,428,0.395,100,115,0.87,18,150,168,49,33,13,33,136,655
