,Season,Tm,C,F,F2,G,G2,C_id,F_id,F2_id,G_id,G2_id
0,2022-23,1st,Joel Embiid,Giannis Antetokounmpo,Jayson Tatum,Luka Dončić,Shai Gilgeous-Alexander,203954,203507,1628369,1629029,1628983
1,2022-23,2nd,Nikola Jokić,Jimmy Butler,Jaylen Brown,Donovan Mitchell,Stephen Curry,203999,202710,1627759,1628378,201939
2,2022-23,3rd,Domantas Sabonis,LeBron James,Julius Randle,De'Aaron Fox,Damian Lillard,1627734,2544,203944,1628368,203081
3,2021-22,1st,Nikola Jokić,Giannis Antetokounmpo,Jayson Tatum,Luka Dončić,Devin Booker,203999,203507,1628369,1629029,1626164
4,2021-22,2nd,Joel Embiid,Kevin Durant,DeMar DeRozan,Ja Morant,Stephen Curry,203954,201142,201942,1629630,201939
5,2021-22,3rd,Karl-Anthony Towns,LeBron James,Pascal Siakam,Chris Paul,Trae Young,1626157,2544,1627783,101108,1629027
6,2020-21,1st,Nikola Jokić,Giannis Antetokounmpo,Kawhi Leonard,Stephen Curry,Luka Dončić,203999,203507,202695,201939,1629029
7,2020-21,2nd,Joel Embiid,Julius Randle,LeBron James,Chris Paul,Damian Lillard,203954,203944,2544,101108,203081
8,2020-21,3rd,Rudy Gobert,Jimmy Butler,Paul George,Bradley Beal,Kyrie Irving,203497,202710,202331,203078,202681
9,2019-20,1st,Anthony Davis,Giannis Antetokounmpo,LeBron James,James Harden,Luka Dončić,203076,203507,2544,201935,1629029
10,2019-20,2nd,Nikola Jokić,Kawhi Leonard,Pascal Siakam,Damian Lillard,Chris Paul,203999,202695,1627783,203081,101108
11,2019-20,3rd,Rudy Gobert,Jayson Tatum,Jimmy Butler,Ben Simmons,Russell Westbrook,203497,1628369,202710,1627732,201566
12,2018-19,1st,Nikola Jokić,Giannis Antetokounmpo,Paul George,James Harden,Stephen Curry,203999,203507,202331,201935,201939
13,2018-19,2nd,Joel Embiid,Kevin Durant,Kawhi Leonard,Damian Lillard,Kyrie Irving,203954,201142,202695,203081,202681
14,2018-19,3rd,Rudy Gobert,LeBron James,Blake Griffin,Kemba Walker,Russell Westbrook,203497,2544,201933,202689,201566
15,2017-18,1st,Anthony Davis,LeBron James,Kevin Durant,Damian Lillard,James Harden,203076,2544,201142,203081,201935
16,2017-18,2nd,Joel Embiid,Giannis Antetokounmpo,LaMarcus Aldridge,Russell Westbrook,DeMar DeRozan,203954,203507,200746,201566,201942
17,2017-18,3rd,Karl-Anthony Towns,Jimmy Butler,Paul George,Stephen Curry,Victor Oladipo,1626157,202710,202331,201939,203506
18,2016-17,1st,Anthony Davis,LeBron James,Kawhi Leonard,James Harden,Russell Westbrook,203076,2544,202695,201935,201566
19,2016-17,2nd,Rudy Gobert,Giannis Antetokounmpo,Kevin Durant,Stephen Curry,Isaiah Thomas,203497,203507,201142,201939,202738
20,2016-17,3rd,DeAndre Jordan,Draymond Green,Jimmy Butler,John Wall,DeMar DeRozan,201599,203110,202710,202322,201942
21,2015-16,1st,DeAndre Jordan,LeBron James,Kawhi Leonard,Stephen Curry,Russell Westbrook,201599,2544,202695,201939,201566
22,2015-16,2nd,DeMarcus Cousins,Kevin Durant,Draymond Green,Chris Paul,Damian Lillard,202326,201142,203110,101108,203081
23,2015-16,3rd,Andre Drummond,Paul George,LaMarcus Aldridge,Klay Thompson,Kyle Lowry,203083,202331,200746,202691,200768
24,2014-15,1st,Marc Gasol,LeBron James,Anthony Davis,Stephen Curry,James Harden,201188,2544,203076,201939,201935
25,2014-15,2nd,DeMarcus Cousins,Pau Gasol,LaMarcus Aldridge,Russell Westbrook,Chris Paul,202326,2200,200746,201566,101108
